social_security_number,bank_account_number,debt,apr_rate,loanLength
411-73-9801,16615412138072,200,4.967,0.125
155-28-9420,9973249371111,327,4.765,0.204375
559-13-3786,9880217631528,581,4.826,0.363125
551-86-5512,247777348135,708,5.204,0.4425
127-79-1113,48448159509,835,4.967,0.521875
752-80-3651,48689204742,1089,4.62,0.680625
350-49-1217,1170493595045,1216,4.826,0.76
818-60-8252,33546354117,1343,5.204,0.839375
158-32-9880,45987570,1470,4.967,0.91875
824-53-1871,52464955402,1597,4.765,0.998125
773-02-1928,93886,1724,4.62,1.0775
577-13-4915,72192785217,1978,5.204,1.23625
756-83-3491,3088582879895,2105,4.967,1.315625
076-90-0469,809957294689,2232,4.765,1.395
626-52-3252,23496149305,2359,4.62,1.474375
308-80-4131,6437356123840,2486,4.826,1.55375
183-84-6548,75146257,2867,4.765,1.791875
825-42-7658,91920409838,2994,4.62,1.87125
521-70-3849,376368620043,3121,4.826,1.950625
561-67-6442,3910989436131,3248,5.204,2.03
789-42-6087,53793653947,3375,4.967,2.109375
748-81-8463,8690530005716,3502,4.765,2.18875
697-65-5767,910912699,3629,4.62,2.268125
306-47-3681,61651213245060,3756,4.826,2.3475
670-19-7263,1121460603279,3883,5.204,2.426875
074-58-1025,4098066,4010,4.967,2.50625
653-84-8820,8953209929247865,4137,4.765,2.585625
412-70-5055,346734250,4264,4.62,2.665
782-04-4643,617075835538702,4518,5.204,2.82375
796-47-0501,1475268274464,4645,4.967,2.903125
848-15-4758,479809563336,4772,4.765,2.9825
355-47-9619,1035583,4899,4.62,3.061875
883-51-3036,74757005918,5026,4.826,3.14125
883-57-4844,1243749148808,5153,5.204,3.220625
255-52-1709,848960332301,5915,4.967,3.696875
821-13-5148,81713582300,6042,4.765,3.77625
877-19-2366,2941098993,6169,4.62,3.855625
680-38-9055,963591590500987,6296,4.826,3.935
550-91-2833,804969790,6550,4.967,4.09375
502-06-5605,14044819569406,6804,4.62,4.25250000000001
736-26-2319,6552783890026,6931,4.826,4.331875
365-38-9912,2957961408,7185,4.967,4.49062500000001
758-77-7981,3946598561931,7312,4.765,4.57000000000001
743-03-7057,61136353381464,7439,4.62,4.649375
175-26-6562,5754992351,7566,4.826,4.72875000000001
818-14-7817,3404120585032335,7820,4.967,4.8875
865-75-4944,7880699800,7947,4.765,4.96687500000001
680-33-6283,5277168142,8074,4.62,5.04625000000001
624-84-5683,1757637940425,8201,4.826,5.12562500000001
710-86-3808,260235998,8455,4.967,5.28437500000001
711-19-2756,48779486340477,8582,4.765,5.36375000000001
709-11-9719,789833071118,8709,4.62,5.44312500000001
086-42-7081,3968267624,8836,4.826,5.52250000000001
371-95-0379,842689527168,8963,5.204,5.60187500000001
053-26-6732,40247133,9090,4.967,5.68125000000001
672-39-9717,6258852232041,9217,4.765,5.76062500000001
236-19-3877,2353438087943,9344,4.62,5.84000000000001
807-93-3836,60504342,9471,4.826,5.91937500000001
277-29-2791,34170115202,9598,5.204,5.99875000000001
792-83-4557,401929381204,9725,4.967,6.07812500000001
225-44-6031,3466176487583,10487,4.765,6.55437500000001
607-04-7101,469012967,10614,4.62,6.63375000000001
888-58-6562,419109752,10741,4.826,6.71312500000001
407-74-1724,57969247,10868,5.204,6.79250000000001
805-33-3672,124051511546,10995,4.967,6.871875
767-13-9675,6553199121214,11122,4.765,6.95125
879-93-3476,88135140195,11249,4.62,7.030625
658-51-7593,45395211,11503,5.204,7.189375
566-27-7032,7323021281,12011,4.826,7.506875
805-40-3721,12154340,12138,5.204,7.58625
893-99-6990,273547175,12265,4.967,7.665625
212-89-4537,780765221,12392,4.765,7.745
